State name,District name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households,Rural_Households,Urban_Households,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Households_with_Internet,Households_with_Computer,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Car_Jeep_Van,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Male_percentage,Female_percentage,Sex_ratio,Male_literacy_percent,Female_literacy_percent
NCT OF DELHI,NORTH SIKKIM,91,887978,475002,412976,681517,381615,299902,301071,4512,296559,174310,161067,21418,40543,156786,160557,25574,726443,119792,7256,19066,1824,13049,81,53.0,47.0,87.0,56.0,44.0
NCT OF DELHI,NORTH GARO HILLS,92,2241624,1188425,1053199,1611588,912481,699107,487581,5326,482255,391951,356769,30390,69417,349535,357017,37482,1529337,657585,9123,17424,2388,24673,48,53.0,47.0,89.0,57.0,43.0
NCT OF DELHI,EAST SIKKIM,93,1709346,907500,801846,1352998,748382,604616,462218,1086,461132,352758,327253,80037,127465,320151,329844,87499,1410852,178807,15792,53027,2643,46927,366,53.0,47.0,88.0,55.0,45.0
NCT OF DELHI,DELHI,94,142004,77942,64062,114179,65678,48501,52664,0,52664,30023,26681,7366,11948,26397,27920,7248,124482,8480,4852,2933,312,679,66,55.0,45.0,82.0,58.0,42.0
NCT OF DELHI,DELHI,95,582320,307821,274499,442360,240518,201842,194897,0,194897,113399,101826,19724,30627,102933,104185,21001,364148,194278,3527,13038,362,5886,107,53.0,47.0,89.0,54.0,46.0
NCT OF DELHI,WEST SIKKIM,96,2543243,1356240,1187003,1961179,1093933,867246,701512,1809,699703,520282,475985,109666,171002,468163,476978,134587,2087294,149807,18337,271752,1993,11322,273,53.0,47.0,88.0,56.0,44.0
NCT OF DELHI,SOUTH WEST KHASI HILLS,97,2292958,1246046,1046912,1787689,1025261,762428,647682,41179,606503,457784,423855,94853,156635,402661,425929,105425,2102743,112691,31226,31692,2784,9215,266,54.0,46.0,84.0,57.0,43.0
NCT OF DELHI,SOUTH SIKKIM,98,2731929,1467428,1264501,2078402,1185036,893366,731063,2918,728145,549402,504898,111453,176435,481782,513042,121101,2155759,445914,41880,69520,3862,11020,645,54.0,46.0,86.0,57.0,43.0
RAJASTHAN,GANGANAGAR,99,1969168,1043340,925828,1193343,710908,482435,562594,397697,164897,283142,88543,6295,24901,181616,284669,21515,1437144,50688,2077,474853,938,1988,164,53.0,47.0,89.0,60.0,40.0
RAJASTHAN,HANUMANGARH,100,1774692,931184,843508,1034136,624281,409855,497753,389059,108694,243163,55515,3360,16217,140280,249474,16537,1433067,118673,1542,216997,241,1935,138,52.0,48.0,91.0,60.0,40.0
RAJASTHAN,BIKANER,101,2363937,1240801,1123136,1278801,782399,496402,531933,335754,196179,220793,108812,7607,29531,138480,287946,17113,2073356,235741,1901,20072,285,30850,79,52.0,48.0,91.0,61.0,39.0
RAJASTHAN,CHURU,102,2039547,1051446,988101,1149269,696729,452540,493893,344897,148996,231696,74197,2577,15259,131174,268431,9938,1777879,249736,958,402,188,7104,127,52.0,48.0,94.0,61.0,39.0
RAJASTHAN,JHUNJHUNU,103,2137045,1095896,1041149,1370360,815834,554526,650809,500452,150357,297559,131987,4828,24178,189511,314807,15861,1905682,228178,1004,275,56,548,85,51.0,49.0,95.0,60.0,40.0
RAJASTHAN,ALWAR,104,3674179,1939026,1735153,2182476,1359829,822647,995261,782294,212967,485723,123478,9750,45770,258862,477446,30207,3039279,547335,2696,64532,4384,13221,348,53.0,47.0,89.0,62.0,38.0
RAJASTHAN,BHARATPUR,105,2548462,1355726,1192736,1480869,943910,536959,609134,479437,129697,288723,61113,4179,26106,160190,303255,10349,2143046,371286,1576,23456,899,5758,18,53.0,47.0,88.0,64.0,36.0
